"","date","TempOd1","TempOd2","TempOd4","TempOd5"
"1550",2015-08-23,15.56475,17.7321666666667,17.4308333333333,18.0888333333333
"1551",2015-08-24,14.5389166666667,16.4270833333333,16.6911666666667,17.2365833333333
"1552",2015-08-25,13.6566666666667,14.7773333333333,15.3975833333333,16.008
"1553",2015-08-26,15.1326666666667,16.7283333333333,16.3676666666667,16.6950833333333
"1554",2015-08-27,14.1835833333333,15.7238333333333,15.9743333333333,16.3836666666667
"1555",2015-08-28,13.55125,14.4578333333333,14.9455,15.487
"1556",2015-08-29,13.4760833333333,14.5551666666667,14.9093333333333,15.4905
"1557",2015-08-30,15.4105833333333,16.58525,16.4984166666667,16.7643333333333
"1558",2015-08-31,15.3938333333333,17.0086666666667,17.12175,17.3259166666667
"1559",2015-09-01,14.5448333333333,15.7338333333333,16.3656666666667,16.79625
"1560",2015-09-02,12.95825,13.92275,14.8500833333333,15.5666666666667
"1561",2015-09-03,11.9591666666667,13.0290833333333,13.6996666666667,14.473
"1562",2015-09-04,12.0371666666667,13.0980833333333,13.5295,14.12175
"1563",2015-09-05,12.3189166666667,13.4045833333333,13.7316666666667,14.3154166666667
"1564",2015-09-06,12.177,13.2806666666667,13.9239166666667,14.5191666666667
"1565",2015-09-07,11.4125833333333,12.33925,13.12175,13.865
"1566",2015-09-08,11.9150833333333,12.7874166666667,13.144,14.0215
"1567",2015-09-09,11.9835,12.8644166666667,13.1515833333333,14.1250833333333
"1568",2015-09-10,12.2754166666667,12.9789166666667,13.2698333333333,14.305
"1569",2015-09-11,12.3785833333333,13.416,13.40675,14.309
"1570",2015-09-12,13.1341666666667,14.6208333333333,14.1915,14.8998333333333
"1571",2015-09-13,11.8389166666667,12.7615833333333,13.0979166666667,13.8795833333333
"1572",2015-09-14,12.5354166666667,13.7539166666667,13.7299166666667,14.4890833333333
"1573",2015-09-15,11.524,12.43175,13.0678333333333,13.5774166666667
"1574",2015-09-16,12.9228333333333,14.1289166666667,13.8734166666667,14.5329166666667
